id,session,datetime,value
233,25,2025-09-22 19:06:30.413014,t
234,25,2025-09-22 19:06:34.545544,f
235,27,2025-09-22 19:33:10.649566,t
236,27,2025-09-22 19:44:06.702425,f
237,27,2025-09-22 19:44:48.215178,t
238,28,2025-09-27 21:11:29.753624,t
239,28,2025-09-27 21:14:57.717954,f
240,28,2025-09-27 21:15:18.011543,t
241,28,2025-09-27 21:16:41.693986,f
242,28,2025-09-27 21:17:28.985411,t
243,28,2025-09-27 21:18:11.960031,f
244,28,2025-09-27 21:19:11.768384,t
245,28,2025-09-27 21:19:50.429841,f
246,28,2025-09-27 21:20:40.347858,t
247,29,2025-09-27 21:25:01.180731,t
248,29,2025-09-27 21:25:45.412701,f
249,29,2025-09-27 21:25:56.37635,t
250,29,2025-09-27 21:30:44.193167,f
251,29,2025-09-27 21:31:37.135457,t
252,29,2025-09-27 21:35:23.615132,f
253,29,2025-09-27 21:35:24.591222,t
254,30,2025-09-28 20:26:01.573686,t
255,31,2025-09-28 20:31:49.895366,t
256,31,2025-09-28 20:32:47.577582,f
257,31,2025-09-28 20:33:07.109043,t
258,31,2025-09-28 20:33:12.179639,f
259,31,2025-09-28 20:33:28.928607,t
260,31,2025-09-28 20:33:35.527186,f
261,31,2025-09-28 20:33:42.890956,t
262,31,2025-09-28 20:41:11.25938,t
263,32,2025-10-01 19:00:28.945715,t
264,32,2025-10-01 19:00:52.766516,t
265,34,2025-10-01 19:18:03.633195,t
266,34,2025-10-01 19:21:03.402396,f
267,34,2025-10-01 19:21:10.446229,t
268,35,2025-10-01 19:40:52.666251,t
269,35,2025-10-01 19:42:47.577658,f
270,35,2025-10-01 19:42:55.808123,t
271,35,2025-10-01 19:43:18.568762,f
272,35,2025-10-01 19:43:20.529759,t
273,35,2025-10-01 19:43:26.766098,f
274,35,2025-10-01 19:43:36.437722,t
275,35,2025-10-01 19:46:13.170651,f
276,35,2025-10-01 19:46:21.296097,t
277,35,2025-10-01 19:51:45.750086,t
278,36,2025-10-03 23:55:26.704575,t
279,36,2025-10-03 23:57:19.687849,f
280,36,2025-10-03 23:57:56.467614,t
281,36,2025-10-04 00:07:31.706524,f
282,36,2025-10-04 00:07:46.679449,t
283,36,2025-10-04 00:13:58.025462,f
284,36,2025-10-04 00:14:00.328587,t
285,36,2025-10-04 00:14:01.299276,f
286,36,2025-10-04 00:14:02.306647,t
287,36,2025-10-04 00:15:30.716202,f
288,36,2025-10-04 00:15:37.950615,t
289,36,2025-10-04 00:15:43.520945,f
290,36,2025-10-04 00:15:53.730321,t
291,36,2025-10-04 00:21:36.967992,t
292,37,2025-10-06 14:19:00.646089,t
293,38,2025-10-06 14:21:47.44869,t
294,39,2025-09-23 12:06:31.691692,t
295,39,2025-09-23 12:06:35.625487,f
